CBM_Type,Training_Mode,Alpha,k,Run,Leakage,Warning,num_sim,n,d
soft,joint,20.0,100,3,0.003132703830317274,False,15,2000,700
soft,joint,20.0,100,4,0.002628047734956729,False,15,2000,700
soft,joint,20.0,100,5,0.006319492617339328,False,15,2000,700
soft,joint,20.0,100,6,0.0037338046322596963,False,15,2000,700
soft,joint,20.0,100,7,0.005995883579823724,False,15,2000,700
soft,joint,20.0,100,8,0.008888808415264293,False,15,2000,700
soft,joint,20.0,100,9,0.000966548350617602,False,15,2000,700
soft,joint,20.0,100,10,0.01364998446183363,False,15,2000,700
soft,joint,20.0,100,11,0.0056027608182316335,False,15,2000,700
soft,joint,20.0,100,12,-0.003950885259353276,False,15,2000,700
soft,joint,20.0,100,13,0.007681529714366864,False,15,2000,700
soft,joint,20.0,100,14,0.00254409351045104,False,15,2000,700
soft,joint,20.0,100,15,0.011056424784953833,False,15,2000,700
soft,joint,20.0,200,1,0.01207319057988454,False,15,2000,700
soft,joint,20.0,200,2,0.004785638184200636,False,15,2000,700
soft,joint,20.0,200,3,0.012533266322664716,False,15,2000,700
soft,joint,20.0,200,4,0.012303154872353117,False,15,2000,700
soft,joint,20.0,200,5,0.009194776139983096,False,15,2000,700
soft,joint,20.0,200,6,0.010659661854637736,False,15,2000,700
soft,joint,20.0,200,7,0.011134488266261844,False,15,2000,700
soft,joint,20.0,200,8,-0.0018275452287450644,False,15,2000,700
soft,joint,20.0,200,9,0.006035663176630068,False,15,2000,700
soft,joint,20.0,200,10,0.011991005357452567,False,15,2000,700
soft,joint,20.0,200,11,0.014659311830891086,False,15,2000,700
soft,joint,20.0,200,12,0.0017602616499148294,False,15,2000,700
soft,joint,20.0,200,13,0.006007241699854227,False,15,2000,700
soft,joint,20.0,200,14,0.006757552616605489,False,15,2000,700
soft,joint,20.0,200,15,0.015917715447829384,False,15,2000,700
soft,joint,50.0,10,1,0.002067971039595884,False,15,2000,700
soft,joint,50.0,10,2,0.006101632352199182,False,15,2000,700
soft,joint,50.0,10,3,-0.00038880370070293324,False,15,2000,700
soft,joint,50.0,10,4,6.53788865963012e-05,False,15,2000,700
soft,joint,50.0,10,5,0.00024343267763593524,False,15,2000,700
soft,joint,50.0,10,6,0.0073819029714707884,False,15,2000,700
soft,joint,50.0,10,7,0.0026428106208908897,False,15,2000,700
soft,joint,50.0,10,8,-0.00040343384252272685,False,15,2000,700
soft,joint,50.0,10,9,0.008670143057657898,False,15,2000,700
soft,joint,50.0,10,10,-0.002122576686762745,False,15,2000,700
soft,joint,50.0,10,11,0.0034779195108101124,False,15,2000,700
soft,joint,50.0,10,12,0.004194223372022243,False,15,2000,700
soft,joint,50.0,10,13,0.004963837589710751,False,15,2000,700
soft,joint,50.0,10,14,0.004475929953622559,False,15,2000,700
soft,joint,50.0,10,15,0.0012155575717467393,False,15,2000,700
soft,joint,50.0,20,1,0.006933728193665001,False,15,2000,700
soft,joint,50.0,20,2,0.0020061103313058215,False,15,2000,700
soft,joint,50.0,20,3,0.0037794840809048935,False,15,2000,700
soft,joint,50.0,20,4,0.00813262041192897,False,15,2000,700
soft,joint,50.0,20,5,0.004335694727816586,False,15,2000,700
soft,joint,50.0,20,6,0.002323882443943104,False,15,2000,700
soft,joint,50.0,20,7,0.00838884067092227,False,15,2000,700
soft,joint,50.0,20,8,0.00656617903605472,False,15,2000,700
soft,joint,50.0,20,9,0.00023052573917903274,False,15,2000,700
soft,joint,50.0,20,10,-0.001242172761952709,False,15,2000,700
soft,joint,50.0,20,11,0.012351480037227747,False,15,2000,700
soft,joint,50.0,20,12,0.004928761945618199,False,15,2000,700
soft,joint,50.0,20,13,0.006578189120326039,False,15,2000,700
soft,joint,50.0,20,14,0.006990463938158609,False,15,2000,700
soft,joint,50.0,20,15,0.0030450725610233764,False,15,2000,700
soft,joint,50.0,50,1,0.012936271896302642,False,15,2000,700
soft,joint,50.0,50,2,0.006430751005563451,False,15,2000,700
soft,joint,50.0,50,3,-0.0009373731036124155,False,15,2000,700
soft,joint,50.0,50,4,0.011805978865456535,False,15,2000,700
soft,joint,50.0,50,5,-0.00206515654602768,False,15,2000,700
soft,joint,50.0,50,6,0.00796417563816676,False,15,2000,700
soft,joint,50.0,50,7,-0.002632488388591314,False,15,2000,700
soft,joint,50.0,50,8,0.007260736889510788,False,15,2000,700
soft,joint,50.0,50,9,0.007419014736252283,False,15,2000,700
soft,joint,50.0,50,10,0.0034542710559146705,False,15,2000,700
soft,joint,50.0,50,11,0.004650633004257054,False,15,2000,700
soft,joint,50.0,50,12,0.007780526151040856,False,15,2000,700
soft,joint,50.0,50,13,-0.003819898831192159,False,15,2000,700
soft,joint,50.0,50,14,0.007086157759615963,False,15,2000,700
soft,joint,50.0,50,15,0.010246654172378022,False,15,2000,700
soft,joint,50.0,100,1,0.011546341415326511,False,15,2000,700
soft,joint,50.0,100,2,1.7056528286429895e-05,False,15,2000,700
soft,joint,50.0,100,3,0.008025922896698567,False,15,2000,700
soft,joint,50.0,100,4,0.0024403054571036087,False,15,2000,700
soft,joint,50.0,100,5,0.005344059555295377,False,15,2000,700
soft,joint,50.0,100,6,0.004730555077283816,False,15,2000,700
soft,joint,50.0,100,7,0.0030042987160510126,False,15,2000,700
soft,joint,50.0,100,8,0.007944961176012955,False,15,2000,700
soft,joint,50.0,100,9,0.0011897102943645432,False,15,2000,700
soft,joint,50.0,100,10,0.010284894435472536,False,15,2000,700
soft,joint,50.0,100,11,0.001334062904705835,False,15,2000,700
soft,joint,50.0,100,12,-0.0021182501563723477,False,15,2000,700
soft,joint,50.0,100,13,0.01112594666733302,False,15,2000,700
soft,joint,50.0,100,14,0.008015794835024792,False,15,2000,700
soft,joint,50.0,100,15,0.013745250090208883,False,15,2000,700
soft,joint,50.0,200,1,0.011127505004360216,False,15,2000,700
soft,joint,50.0,200,2,0.004990077280300653,False,15,2000,700
soft,joint,50.0,200,3,0.011148082195796993,False,15,2000,700
soft,joint,50.0,200,4,0.014698202385713621,False,15,2000,700
soft,joint,50.0,200,5,0.007547444930401381,False,15,2000,700
soft,joint,50.0,200,6,0.010687654759129694,False,15,2000,700
soft,joint,50.0,200,7,0.009032036805728172,False,15,2000,700
soft,joint,50.0,200,8,0.0016841413155734841,False,15,2000,700
soft,joint,50.0,200,9,0.005019571009286183,False,15,2000,700
soft,joint,50.0,200,10,0.011124859823189004,False,15,2000,700
soft,joint,50.0,200,11,0.006317978374690059,False,15,2000,700
soft,joint,50.0,200,12,0.007299491144041381,False,15,2000,700
soft,joint,50.0,200,13,0.003451887340024884,False,15,2000,700
soft,joint,50.0,200,14,0.007428835465026262,False,15,2000,700
soft,joint,50.0,200,15,0.017638601911814433,False,15,2000,700
soft,joint,100.0,10,1,-2.6646068638447318e-05,False,15,2000,700
soft,joint,100.0,10,2,0.006358587366492197,False,15,2000,700
soft,joint,100.0,10,3,0.0005914430361220191,False,15,2000,700
soft,joint,100.0,10,4,-0.0005392450291943351,False,15,2000,700
soft,joint,100.0,10,5,0.004564301654486291,False,15,2000,700
soft,joint,100.0,10,6,0.005031082803817144,False,15,2000,700
soft,joint,100.0,10,7,0.0076303180081129796,False,15,2000,700
soft,joint,100.0,10,8,0.0038112210149268133,False,15,2000,700
soft,joint,100.0,10,9,0.0065465000221069936,False,15,2000,700
soft,joint,100.0,10,10,0.004881337689089049,False,15,2000,700
soft,joint,100.0,10,11,0.0045237654187424425,False,15,2000,700
soft,joint,100.0,10,12,0.005509291332453481,False,15,2000,700
soft,joint,100.0,10,13,0.006613208839690188,False,15,2000,700
soft,joint,100.0,10,14,0.0001374155916418207,False,15,2000,700
soft,joint,100.0,10,15,0.002457648144599256,False,15,2000,700
soft,joint,100.0,20,1,0.004841947176484007,False,15,2000,700
soft,joint,100.0,20,2,0.0004381651001432729,False,15,2000,700
soft,joint,100.0,20,3,0.0037407964278202144,False,15,2000,700
soft,joint,100.0,20,4,0.0032165071413496893,False,15,2000,700
soft,joint,100.0,20,5,0.00577160369689711,False,15,2000,700
soft,joint,100.0,20,6,0.002533937079208126,False,15,2000,700
soft,joint,100.0,20,7,0.0018624356964000999,False,15,2000,700
soft,joint,100.0,20,8,0.0067791955284819405,False,15,2000,700
soft,joint,100.0,20,9,-0.0025419919928655332,False,15,2000,700
soft,joint,100.0,20,10,-0.0016087642103945754,False,15,2000,700
soft,joint,100.0,20,11,0.00810986913374201,False,15,2000,700
soft,joint,100.0,20,12,0.005952946567488571,False,15,2000,700
soft,joint,100.0,20,13,0.0035311698077471476,False,15,2000,700
soft,joint,100.0,20,14,0.00507764533998234,False,15,2000,700
soft,joint,100.0,20,15,0.0023983296904424023,False,15,2000,700
soft,joint,100.0,50,1,0.011935414916627307,False,15,2000,700
soft,joint,100.0,50,2,0.010047978189333007,False,15,2000,700
soft,joint,100.0,50,3,0.006815732995639756,False,15,2000,700
soft,joint,100.0,50,4,0.008987947012329967,False,15,2000,700
soft,joint,100.0,50,5,-0.00020065449232031796,False,15,2000,700
soft,joint,100.0,50,6,0.0049689297377124575,False,15,2000,700
soft,joint,100.0,50,7,-0.002305690842617336,False,15,2000,700
soft,joint,100.0,50,8,0.012108820141756071,False,15,2000,700
soft,joint,100.0,50,9,0.009513042652144366,False,15,2000,700
soft,joint,100.0,50,10,0.0016239952605932029,False,15,2000,700
soft,joint,100.0,50,11,0.0015225419846589539,False,15,2000,700
soft,joint,100.0,50,12,0.0011011570696548567,False,15,2000,700
soft,joint,100.0,50,13,0.001604133643722916,False,15,2000,700
soft,joint,100.0,50,14,0.006394816836283512,False,15,2000,700
soft,joint,100.0,50,15,0.010259029044254797,False,15,2000,700
soft,joint,100.0,100,1,0.008063789999650073,False,15,2000,700
